id,release_date,debit_account,credit_account,amount,document,operation_nature,cost_center,taxes,currency,conversion_rate
1,2022-02-27,DWAVRL,CIOVQ6,5533.25,DOCPAXGQ,OP7JDVK,CC5FYA2,444.1325202720218,nan,3.4756056261939174
2,2022-05-11,D8TF53,CV9Y0V,7180.37,DOCBXZXG,OPXSY64,CCLH4R9,471.09235950902394,EUR,3.523286759155978
3,2020-03-23,D0TZCE,CELQSH,6067.36,DOCF5ITC,OPTDE9B,CCDG8CJ,326.4998804726215,JPY,3.523286759155978
4,2021-06-14,DOGLK7,CDFEMS,5494.34,DOCZRS1U,,CC98G2K,471.09235950902394,JPY,3.523286759155978
5,2022-11-13,DHL0I5,CRU97G,4294.18,,OP62LG1,CCZD80Y,154.26397977720023,EUR,3.523286759155978
6,2022-09-22,DYXIMF,CYPHAW,6494.35,DOCUN2AU,OPEFHID,CC6ZMH6,444.1325202720218,BRL,3.523286759155978
7,2022-04-09,DAUCWM,CMXLLX,4432.11,DOCQ351W,OPONOYV,CCQXYYE,471.09235950902394,EUR,2.5681167953894297
8,2021-09-13,DRCIA8,CDN7ZK,8928.55,,OPYTO4W,CCE96NX,444.1325202720218,JPY,
9,2022-09-03,DL3MXE,CEUMUY,9640.26,,OP9WN0L,CC22OH4,154.26397977720023,USD,2.5681167953894297
10,2022-01-03,D7QFLX,CG15OX,3896.07,DOC9WUZ6,OP3VTE0,CCO82DP,326.4998804726215,nan,3.523286759155978
11,2023-04-09,D02OA6,CPWJ4A,7938.08,DOCP0JTZ,,CCGN3U4,,nan,3.523286759155978
12,2021-03-23,DT29Z1,CK2NP8,5336.06,DOCUUSIH,OP9LOO0,CCPZWE2,,EUR,3.4756056261939174
13,2022-10-30,DUE8GS,CBBVFH,5723.64,DOC42TPM,,CCNIEEU,,EUR,3.523286759155978
14,2020-10-12,DWX4ZC,CSOOLD,9263.41,DOCOADTS,OPAGOLC,CCKWUV1,6779.970521973589,BRL,3.523286759155978
15,2021-07-31,DI3G88,CIDGTI,803.26,,OP95O36,CCXNWXV,471.09235950902394,nan,2.5681167953894297
16,2020-10-13,D604UZ,CRVDUI,962.58,DOCEUHBC,OP60FJ7,CCP2JH3,471.09235950902394,EUR,3.523286759155978
17,2020-07-13,DP5DWZ,CZ6SPU,300.16,DOCBBXPJ,,CCC1MQ2,444.1325202720218,JPY,2.135299770937235
18,2023-06-20,DWBM0N,CXOC2T,8342.94,DOCD8EN9,OP1VVFV,CC719LY,430.1553391717098,JPY,2.5681167953894297
19,2021-05-28,DW6RMY,CC5N9I,7803.75,,OP354ZL,CCACP8F,444.1325202720218,USD,2.135299770937235
20,2022-12-26,DQSF1M,CS81TI,8713.12,DOCYYD6D,OPZ2V8K,CCBCI02,,USD,2.135299770937235
21,2023-05-17,D27ATK,CIDYCD,9788.32,DOCKSPUG,OPNRBS4,CCG6YKJ,430.1553391717098,EUR,3.523286759155978
22,2020-10-27,DQBTT7,C7LOYR,8011.67,DOCNV2YS,OPNRV4B,CC6TVQH,154.26397977720023,BRL,
23,2021-09-27,DBOEMB,?,4668.65,DOCIP6VJ,OPUGAEB,CCVPFJ0,430.1553391717098,BRL,2.135299770937235
24,2020-07-21,DJ9JYZ,COB7OG,7827.24,DOCKIAGL,OP8UR4I,CCQ8PZ4,154.26397977720023,BRL,1.2480290666241416
25,2020-05-31,D7911S,CQQMW1,1270.92,DOCRJ28Y,OP8MU9Y,CCB1LKB,471.09235950902394,BRL,2.135299770937235
26,2023-11-01,DN4JE9,CYH3C5,6435.22,DOCG7LD5,OPASBT8,CCJFWKW,,nan,3.4756056261939174
27,2021-11-07,D27IYT,CDG9I2,1519.2,DOCAM9CG,OPHK6S8,CC9S82O,471.09235950902394,BRL,
28,2022-08-24,D5F5F4,CKWWA2,9452.22,DOCX459K,OPAOT9N,CC2HGUS,444.1325202720218,USD,2.5681167953894297
29,2023-02-20,D3VBFM,?,5266.3,DOCS1RZH,OPFA004,CC9GD1L,326.4998804726215,USD,3.4756056261939174
30,2020-07-25,DKKROP,CRGF5B,4205.15,DOCCBUVA,OP0B94I,CCIZIYW,471.09235950902394,nan,3.4756056261939174
31,2021-12-25,DG2UPM,CF9A98,2719.1,DOCZ5WV9,OP7VXC1,CCX55S4,471.09235950902394,EUR,2.135299770937235
32,2022-06-08,DAZ6XX,CTAOW0,7764.91,,OPO9OUI,CC4WHEV,430.1553391717098,JPY,3.4756056261939174
33,2021-10-09,DJWC7K,CTXZRW,4615.89,DOCNUD0T,OPS0KR0,CCQNZ98,154.26397977720023,USD,3.4756056261939174
34,2023-06-05,D3TCXU,CZSJA4,5727.5,DOCMO9N9,OPVRLS1,CC3EI1Q,,USD,
35,2023-08-04,D7WTNP,CZ5RHG,286.02,DOCCQ3H6,OPGX1JU,CC85H0H,471.09235950902394,nan,2.135299770937235
36,2021-02-22,DLA23K,?,6214.59,DOCTRWRX,OPQJ46R,CCAM30Y,471.09235950902394,USD,
37,2023-02-05,DJSLMZ,CONVTP,6159.75,DOCSHC8H,OPRAWNN,CCAU8PJ,154.26397977720023,JPY,3.523286759155978
